year,month,day,DayOfWeek,A1,A2,A3,A4
2021,1,4,2,0.97956,0.97889,0.98174,0.97735
2021,1,5,3,0.97907,0.98274,0.98589,0.97884
2021,1,6,4,0.98284,0.98865,0.98988,0.98152
2021,1,7,5,0.98868,0.98580,0.98998,0.98304
2021,1,8,6,0.98579,0.98529,0.98858,0.98288
2021,1,11,2,0.98501,0.98370,0.98592,0.98123
2021,1,12,3,0.98366,0.98765,0.98888,0.98272
2021,1,13,4,0.98749,0.98157,0.98871,0.98155
2021,1,14,5,0.98149,0.98287,0.98541,0.98129
2021,1,15,6,0.98306,0.98082,0.98422,0.97962
2021,1,18,2,0.98128,0.97956,0.98340,0.97833
2021,1,19,3,0.97960,0.97945,0.98329,0.97797
2021,1,20,4,0.97968,0.97853,0.98278,0.97733
2021,1,21,5,0.97855,0.98084,0.98204,0.97770
2021,1,22,6,0.98079,0.98194,0.98284,0.97854
2021,1,25,2,0.98108,0.98224,0.98328,0.97993
2021,1,26,3,0.98199,0.98270,0.98507,0.98011
2021,1,27,4,0.98261,0.98215,0.98484,0.98205
2021,1,28,5,0.98049,0.98539,0.98548,0.97694
2021,1,29,6,0.98545,0.97644,0.98550,0.97590
2021,2,1,2,0.97421,0.97881,0.98150,0.97394
2021,2,2,3,0.97889,0.97235,0.98248,0.97140
2021,2,3,4,0.97219,0.97449,0.97556,0.97153
2021,2,4,5,0.97369,0.97448,0.97734,0.97334
2021,2,5,6,0.97446,0.97951,0.97993,0.97277
2021,2,8,2,0.97811,0.98064,0.98380,0.97777
2021,2,9,3,0.98067,0.98194,0.98490,0.98067
2021,2,10,4,0.98219,0.98042,0.98376,0.98003
2021,2,11,5,0.98030,0.98474,0.98514,0.97991
2021,2,12,6,0.98474,0.98473,0.98591,0.98369
2021,2,15,2,0.98484,0.98309,0.98623,0.98242
2021,2,16,3,0.98311,0.98399,0.98616,0.98264
2021,2,17,4,0.98416,0.98429,0.98640,0.98218
2021,2,18,5,0.98424,0.98449,0.98721,0.98387
2021,2,19,6,0.98439,0.99253,0.99326,0.98408
2021,2,22,2,0.99247,0.99824,0.99898,0.99223
2021,2,23,3,0.99789,0.99574,0.99882,0.99534
2021,2,24,4,0.99569,0.99726,0.99890,0.99379
2021,2,25,5,0.99689,0.99199,0.99931,0.99053
2021,2,26,6,0.99214,0.98204,0.99329,0.97885
2021,3,1,2,0.98157,0.98028,0.98628,0.98015
2021,3,2,3,0.98284,0.98739,0.98870,0.98085
2021,3,3,4,0.98744,0.98374,0.98981,0.98307
2021,3,4,5,0.98374,0.97829,0.98742,0.97774
2021,3,5,6,0.97842,0.97181,0.97883,0.97028
2021,3,8,2,0.97329,0.96854,0.97524,0.96789
2021,3,9,3,0.96857,0.97413,0.97609,0.96657
2021,3,10,4,0.97422,0.97604,0.97789,0.97237
2021,3,11,5,0.97579,0.97564,0.97966,0.97466
2021,3,12,6,0.97570,0.96772,0.97712,0.96705
2021,3,15,2,0.96762,0.96719,0.96842,0.96370
2021,3,16,3,0.96724,0.96329,0.96776,0.96283
2021,3,17,4,0.96329,0.96704,0.96915,0.96094
2021,3,18,5,0.96724,0.96889,0.97191,0.96612
2021,3,19,6,0.96894,0.96707,0.97033,0.96590
2021,3,22,2,0.96613,0.96969,0.97130,0.96451
2021,3,23,3,0.96964,0.96004,0.96993,0.95870
2021,3,24,4,0.96001,0.95372,0.96038,0.95285
2021,3,25,5,0.95377,0.95552,0.95771,0.95345
2021,3,26,6,0.95584,0.96043,0.96122,0.95540
2021,3,29,2,0.95973,0.96082,0.96369,0.95947
2021,3,30,3,0.96057,0.95949,0.96438,0.95858
2021,3,31,4,0.95949,0.95422,0.96079,0.95376
2021,4,1,5,0.95391,0.95555,0.95648,0.94906
2021,4,2,6,0.95519,0.95705,0.95843,0.95458
2021,4,5,2,0.95653,0.95762,0.95949,0.95570
2021,4,6,3,0.95734,0.96289,0.96398,0.95499
2021,4,7,4,0.96311,0.95969,0.96499,0.95943
2021,4,8,5,0.95974,0.96099,0.96298,0.95893
2021,4,9,6,0.96104,0.95434,0.96210,0.95434
2021,4,12,2,0.95615,0.95749,0.95789,0.95339
2021,4,13,3,0.95749,0.95734,0.95969,0.95571
2021,4,14,4,0.95739,0.96695,0.96848,0.95717
2021,4,15,5,0.96684,0.97194,0.97294,0.96508
2021,4,16,6,0.97159,0.96739,0.97279,0.96609
2021,4,19,2,0.96649,0.97212,0.97273,0.96535
2021,4,20,3,0.97222,0.97537,0.97544,0.97112
2021,4,21,4,0.97395,0.96858,0.97589,0.96597
2021,4,22,5,0.96872,0.96357,0.97006,0.96198
2021,4,23,6,0.96369,0.96557,0.96822,0.96233
2021,4,26,2,0.96587,0.96845,0.96847,0.96570
2021,4,27,3,0.96646,0.96284,0.96754,0.96240
2021,4,28,4,0.96264,0.95895,0.96392,0.95749
2021,4,29,5,0.95951,0.95364,0.96069,0.95296
2021,4,30,6,0.95369,0.94774,0.95541,0.94555
2021,5,3,2,0.94861,0.95267,0.95325,0.94729
2021,5,4,3,0.95249,0.94804,0.95315,0.94637
2021,5,5,4,0.94844,0.95014,0.95117,0.94799
2021,5,6,5,0.95007,0.94554,0.95119,0.94512
2021,5,7,6,0.94529,0.95136,0.95412,0.94484
2021,5,10,2,0.95232,0.94709,0.95567,0.94709
2021,5,11,3,0.94724,0.94874,0.95018,0.94669
2021,5,12,4,0.94884,0.93693,0.94910,0.93576
2021,5,13,5,0.93715,0.93981,0.94118,0.93387
2021,5,14,6,0.93982,0.94135,0.94314,0.93840
2021,5,17,2,0.94115,0.93686,0.94283,0.93638
2021,5,18,3,0.93641,0.93986,0.94095,0.93560
2021,5,19,4,0.93953,0.93738,0.94089,0.93351
2021,5,20,5,0.93688,0.93740,0.93980,0.93590
2021,5,21,6,0.93732,0.93257,0.93786,0.93149
2021,5,24,2,0.93268,0.93333,0.93580,0.93094
2021,5,25,3,0.93328,0.93495,0.93629,0.93316
2021,5,26,4,0.93500,0.93845,0.94090,0.93404
2021,5,27,5,0.93795,0.93435,0.93921,0.93292
2021,5,28,6,0.93493,0.93109,0.93609,0.92977
2021,5,31,2,0.93052,0.93066,0.93103,0.93034
2021,6,1,3,0.93257,0.93562,0.93678,0.93043
2021,6,2,4,0.93569,0.93274,0.93716,0.93160
2021,6,3,5,0.93279,0.92644,0.93317,0.92613
